"altura_tot","diametro","inclinacio","origen","barrio","comuna","fres_am"
8,33,0,"Exótico","VILLA SOLDATI",8,"no"
5,22,0,"Exótico","BARRACAS",4,"si"
13,39,0,"Exótico","CHACARITA",15,"no"
9,24,7,"Exótico","VELEZ SARSFIELD",10,"no"
12,78,0,"Exótico","VILLA CRESPO",15,"no"
2,2,0,"Exótico","LINIERS",9,"no"
4,19,0,"Exótico","MATADEROS",9,"si"
8,21,0,"Exótico","BOEDO",5,"si"
10,30,30,"Nativo/Autóctono","CABALLITO",6,"no"
7,15,10,"Exótico","LINIERS",9,"si"
6,28,0,"Exótico","PARQUE CHACABUCO",7,"si"
5,8,0,"Exótico","CABALLITO",6,"no"
10,43,10,"Exótico","VELEZ SARSFIELD",10,"no"
6,37,14,"Exótico","VILLA PUEYRREDON",12,"no"
11,59,0,"Exótico","VILLA DEL PARQUE",11,"no"
19,48,12,"Exótico","CABALLITO",6,"no"
2,3,0,"Exótico","VILLA LUGANO",8,"si"
10,48,30,"Exótico","BELGRANO",13,"no"
5,19,0,"Exótico","NUEVA POMPEYA",4,"no"
10,47,0,"Exótico","SAAVEDRA",12,"si"
12,70,5,"Exótico","MONTE CASTRO",10,"no"
7,24,6,"Exótico","VILLA LUGANO",8,"no"
2,2,0,"Nativo/Autóctono","BELGRANO",13,"no"
12,34,10,"Exótico","BELGRANO",13,"si"
9,42,0,"Exótico","VILLA DEL PARQUE",11,"si"
8,45,5,"Exótico","BELGRANO",13,"si"
10,35,0,"Exótico","FLORES",7,"si"
7,22,13,"Exótico","PALERMO",14,"si"
6,25,15,"Exótico","MONTE CASTRO",10,"no"
18,60,0,"Exótico","PALERMO",14,"no"
7,15,0,"Exótico","LINIERS",9,"si"
5,12,6,"Exótico","PARQUE CHAS",15,"no"
12,21,10,"Exótico","MONSERRAT",1,"si"
7,22,0,"Exótico","FLORES",7,"no"
10,42,0,"Exótico","COLEGIALES",13,"si"
5,26,0,"Exótico","VILLA RIACHUELO",8,"no"
2,4,16,"Exótico","FLORES",7,"si"
16,45,0,"Exótico","FLORES",7,"no"
9,50,5,"Nativo/Autóctono","SAN CRISTOBAL",3,"no"
9,30,0,"Exótico","VILLA SOLDATI",8,"si"
11,25,0,"Exótico","VERSALLES",10,"no"
4,21,0,"Exótico","PARQUE AVELLANEDA",9,"no"
15,55,8,"Exótico","BARRACAS",4,"no"
9,30,10,"Exótico","BALVANERA",3,"si"
3,23,0,"Exótico","NUEVA POMPEYA",4,"si"
9,45,0,"Exótico","VERSALLES",10,"si"
10,32,0,"Exótico","VILLA URQUIZA",12,"si"
11,40,5,"Exótico","VILLA LURO",10,"si"
5,25,0,"Exótico","SAAVEDRA",12,"no"
11,23,10,"Exótico","RECOLETA",2,"si"
8,30,0,"Exótico","LINIERS",9,"no"
7,16,0,"Exótico","PALERMO",14,"si"
15,72,0,"Exótico","VILLA GRAL. MITRE",11,"si"
7,45,0,"Exótico","NUEVA POMPEYA",4,"no"
7,56,0,"Exótico","SAAVEDRA",12,"no"
9,47,35,"Exótico","COGHLAN",12,"no"
7,70,0,"Exótico","CHACARITA",15,"no"
13,55,0,"Exótico","PALERMO",14,"no"
8,30,0,"Exótico","CHACARITA",15,"si"
12,82,0,"Nativo/Autóctono","PALERMO",14,"no"
5,12,0,"Exótico","PARQUE CHAS",15,"si"
19,45,7,"Exótico","VERSALLES",10,"no"
5,12,0,"Exótico","VILLA CRESPO",15,"si"
9,48,0,"Exótico","FLORES",7,"no"
8,28,7,"Exótico","ALMAGRO",5,"no"
8,20,0,"Exótico","FLORES",7,"no"
18,56,7,"Exótico","VERSALLES",10,"no"
5,25,0,"Exótico","FLORES",7,"no"
5,9,0,"Exótico","VILLA DEVOTO",11,"no"
5,13,0,"Exótico","VILLA DEVOTO",11,"no"
7,25,14,"Exótico","BALVANERA",3,"si"
12,12,0,"Exótico","PALERMO",14,"si"
1,2,0,"Exótico","BOEDO",5,"no"
6,16,0,"Exótico","CONSTITUCION",1,"si"
